,name,size,monster_type,alignment,ac,hp,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,info,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,legend_action_1,legend_action_2,legend_action_3,legend_action_4,legend_action_5
165,Hobgoblin,Medium,Humanoid (goblinoid),lawful evil,18,11,13,1,12,1,12,1,10,0,10,0,9,-1,,"Common, Goblin",1/2,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martial Advantage. Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated.","Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d10 + 1) slashing damage. two handed","Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d8 + 1) slashing damage. one handed","Longbow. Ranged Weapon Attack: +3 to hit, reach 150/600 ft., one target. Hit: (1d8 + 1) piercing damage.",,,,,,,,,,,,
166,Homunculus,Tiny,Construct,neutral,13,5,4,-3,15,2,11,0,10,0,10,0,7,-2,"Darkvision 60 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,0,,,,,,,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Telepathic Bond. While the homunculus is on the same plane of existence as its master, it can magically convey what it senses to its master, and the two can communicate telepathically.","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: (1d1) piercing damage. The target must succeed on a dc 10 constitution saving throw or be poisoned for 1 minute If the saving throw fails by 5 or more, the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way",,,,,,,,,,,,,,
167,Horned Devil,Large,Fiend (devil),lawful evil,18,178,22,6,17,3,21,5,12,1,16,3,17,3,"Darkvision 120 Ft., passive Perception 13","Infernal, Telepathy 120 Ft.",11,+10,+7,,,+7,+7,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,Multiattack. The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack.,"Fork. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: (2d8 + 6) piercing damage.","Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: (1d8 + 6) piercing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing","Hurl Flame. Ranged Spell Attack: +7 to hit, reach 150 ft., one target. Hit: (4d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire",,,,,,,,,,,
168,Hunter Shark,Large,Beast,unaligned,12,45,18,4,13,1,15,2,1,-5,10,0,4,-3,"Blindsight 30 Ft., passive Perception 12",,2,,,,,,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. | Water Breathing. The shark can breathe only underwater.,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (2d8 + 4) piercing damage.",,,,,,,,,,,,,,
169,Hydra,Huge,Monstrosity,unaligned,15,172,20,5,12,1,20,5,2,-4,10,0,7,-2,"Darkvision 60 Ft., passive Perception 16",,8,,,,,,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hold Breath. The hydra can hold its breath for 1 hour. | Multiple Heads. The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious. | Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies. | At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way. | Reactive Heads. For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks. | Wakeful. While the hydra sleeps, at least one of its heads is awake.",Multiattack. The hydra makes as many bite attacks as it has heads.,"Bite. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: (1d10 + 5) piercing damage.",,,,,,,,,,,,,
170,Hyena,Medium,Beast,unaligned,11,5,11,0,13,1,12,1,2,-4,12,1,5,-3,passive Perception 13,,0,,,,,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: (1d6) piercing damage.",,,,,,,,,,,,,,
171,Ice Devil,Large,Fiend (devil),lawful evil,18,180,21,5,14,2,18,4,18,4,15,2,18,4,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",14,,+7,+9,,+7,+9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,"Multiattack. The devil makes three attacks: one with its bite, one with its claws, and one with its tail.","Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: (2d6 + 5) piercing damage plus (3d6)cold damage.","Claws. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: (2d4 + 5) slashing damage plus (3d6)cold damage.","Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: (2d6 + 5) bludgeoning damage plus (3d6)cold damage.","Wall of Ice (Recharge 6). The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it's a hemispherical dome up to 20 feet in diameter. When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one. The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.",,,,,,,,,,
172,Ice Mephit,Small,Elemental,neutral evil,11,21,7,-2,13,1,10,0,9,-1,11,0,12,1,"Darkvision 60 Ft., passive Perception 12","Aquan, Auran",1/2,,,,,,,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Death Burst. When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 ft. of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one. | False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice. | Innate Spellcasting (1/Day). The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma.","Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: (1d4 + 1) slashing damage plus (1d4)cold damage.","Frost Breath (Recharge 6). The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,,,
173,Imp,Tiny,Fiend (devil,shapechanger),13,10,6,-2,17,3,13,1,11,0,12,1,14,2,"Darkvision 120 Ft., passive Perception 11","Infernal, Common",1,,,,,,,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shapechanger. The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. | Devil's Sight. Magical darkness doesn't impede the imp's darkvision. | Magic Resistance. The imp has advantage on saving throws against spells and other magical effects.","Sting (Bite in Beast Form). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d4 + 3) piercing damage plus (3d6)poison damage. The target must make a DC 11 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one.","Invisibility. The imp magically turns invisible until it attacks, or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.",,,,,,,,,,,,,
174,Incubus,Medium,Fiend (shapechanger),neutral evil,15,66,8,-1,17,3,13,1,15,2,12,1,20,5,"Darkvision 60 ft., passive Perception 15","Abyssal, Common, Infernal, Telepathy 60 ft.",4,,,,,,,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Telepathic Bond. The fiend ignores the range restriction on its telepathy when communicating with a creature it has charmed. The two don’t even need to be on the same plane of existence. | Shapechanger. The fiend can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Without wings, the fiend loses its flying speed. Other than its size and speed, its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.","Claw (Fiend Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d6 + 3) slashing damage.","Charm. One humanoid the fiend can see within 30 feet of it must succeed on a DC 15 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the fiend’s verbal or telepathic commands. If the target suffers any harm or receives a suicidal command, it can repeat the saving throw, ending the effect on a success. If the target successfully saves against the effect, or if the effect on it ends, the target is immune to this fiend’s Charm for the next 24 hours. The fiend can have only one target charmed at a time. If it charms another, the effect on the previous target ends.","Draining Kiss. The fiend kisses a creature charmed by it or a willing creature. The target must make a DC 15 Constitution saving throw against this magic, taking 32 (5d10 + 5) psychic damage on a failed save, or half as much damage on a successful one. The target’s hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.","Etherealness. The fiend magically enters the Ethereal Plane from the Material Plane, or vice versa.",,,,,,,,,,,
175,Invisible Stalker,Medium,Elemental,neutral,14,104,16,3,19,4,14,2,10,0,15,2,11,0,"Darkvision 60 Ft., passive Perception 18","Auran, Understands Common But Doesn't Speak It",6,,,,,,,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Invisibility. The stalker is invisible. | Faultless Tracker. The stalker is given a quarry by its summoner. The stalker knows the direction and distance to its quarry as long as the two of them are on the same plane of existence. The stalker also knows the location of its summoner.,Multiattack. The stalker makes two slam attacks.,"Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (2d6 + 3) bludgeoning damage.",,,,,,,,,,,,,
176,Iron Golem,Large,Construct,unaligned,20,210,24,7,9,-1,20,5,3,-4,11,0,1,-5,"Darkvision 120 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,16,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Absorption. Whenever the golem is subjected to fire damage, it takes no damage and instead regains a number of hit points equal to the fire damage dealt. | Immutable Form. The golem is immune to any spell or effect that would alter its form. | Magic Resistance. The golem has advantage on saving throws against spells and other magical effects. | Magic Weapons. The golem's weapon attacks are magical.",Multiattack. The golem makes two melee attacks.,"Slam. Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: (3d8 + 7) bludgeoning damage.","Sword. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: (3d10 + 7) slashing damage.","Poison Breath (Recharge 6). The golem exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 45 (10d8) poison damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,
177,Jackal,Small,Beast,unaligned,12,3,8,-1,15,2,11,0,3,-4,12,1,6,-2,passive Perception 13,,0,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell. | Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: (1d4 - 1) piercing damage.",,,,,,,,,,,,,,
178,Killer Whale,Huge,Beast,unaligned,12,90,19,4,10,0,13,1,3,-4,12,1,7,-2,"Blindsight 120 Ft., passive Perception 13",,3,,,,,,,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Echolocation. The whale can't use its blindsight while deafened. | Hold Breath. The whale can hold its breath for 30 minutes | Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing.,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: (5d6 + 4) piercing damage.",,,,,,,,,,,,,,
179,Knight,Medium,Humanoid (any race),any alignment,18,52,16,3,11,0,14,2,11,0,11,0,15,2,passive Perception 10,Any One Language (Usually Common),3,,,+4,,+2,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brave. The knight has advantage on saving throws against being frightened.,Multiattack. The knight makes two melee attacks.,"Greatsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (2d6 + 3) slashing damage.","Heavy Crossbow. Ranged Weapon Attack: +2 to hit, reach 100/400 ft., one target. Hit: (1d10) piercing damage.","Leadership (Recharges after a Short or Long Rest). For 1 minute, the knight can utter a special command or warning whenever a nonhostile creature that it can see within 30 ft. of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the knight. A creature can benefit from only one Leadership die at a time. This effect ends if the knight is incapacitated.",Reactions,"Parry. The knight adds 2 to its AC against one melee attack that would hit it. To do so, the knight must see the attacker and be wielding a melee weapon.",,,,,,,,,
180,Kobold,Small,Humanoid (kobold),lawful evil,12,5,7,-2,15,2,9,-1,8,-1,7,-2,8,-1,,"Common, Draconic",1/8,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. | Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 ft. of the creature and the ally isn't incapacitated.","Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d4 + 2) piercing damage.","Sling. Ranged Weapon Attack: +4 to hit, reach 30/120 ft., one target. Hit: (1d4 + 2) bludgeoning damage.",,,,,,,,,,,,,
181,Kraken,Gargantuan,Monstrosity (titan),chaotic evil,18,472,30,1,11,0,25,7,22,6,18,4,20,5,"Truesight 120 Ft., passive Perception 14","Understands Abyssal, Celestial, Infernal, And Primordial But Can't Speak, Telepathy 120 Ft.",23,+17,+7,+14,+13,+11,,20,60,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Amphibious. The kraken can breathe air and water. | Freedom of Movement. The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled. | Siege Monster. The kraken deals double damage to objects and structures.","Multiattack. The kraken makes three tentacle attacks, each of which it can replace with one use of Fling.","Bite. Melee Weapon Attack: +17 to hit, reach 5 ft., one target. Hit: (3d8 + 10) piercing damage. If the target is a Large or smaller creature grappled by the kraken, that creature is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 42 (12d6) acid damage at the start of each of the kraken's turns. If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the kraken. If the kraken dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone","Tentacle. Melee Weapon Attack: +17 to hit, reach 30 ft., one target. Hit: (3d6 + 10) bludgeoning damage. The target is grappled (escape dc 18) Until this grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target","Fling. One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone.","Lightning Storm. The kraken magically creates three bolts of lightning, each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.",,,,,,Tentacle Attack or Fling.The kraken makes one tentacle attack or uses its Fling.,Lightning Storm (Costs 2 Actions).The kraken uses Lightning Storm.,"Ink Cloud (Costs 3 Actions).While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken's next turn.",,
182,Lamia,Large,Monstrosity,chaotic evil,13,97,16,3,13,1,15,2,14,2,15,2,16,3,"Darkvision 60 Ft., passive Perception 12","Abyssal, Common",4,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Innate Spellcasting. The lamia's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components. At will: disguise self (any humanoid form), major image 3/day each: charm person, mirror image, scrying, suggestion 1/day: geas",Multiattack. The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch.,"Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (2d10 + 3) slashing damage.","Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d4 + 3) piercing damage.","Intoxicating Touch. Melee Spell Attack: +5 to hit, reach 5 ft., one creature. The target is magically cursed for 1 hour Until the curse ends, the target has disadvantage on Wisdom saving throws and all ability checks",,,,,,,,,,,
183,Lemure,Medium,Fiend (devil),lawful evil,7,13,10,0,5,-3,11,0,1,-5,11,0,3,-4,"Darkvision 120 Ft., passive Perception 10",Understands Infernal But Can't Speak,0,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil's Sight. Magical darkness doesn't impede the lemure's darkvision. | Hellish Rejuvenation. A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.,"Fist. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: (1d4) bludgeoning damage.",,,,,,,,,,,,,,
184,Lich,Medium,Undead,any evil alignment,17,135,11,0,16,3,16,3,20,5,14,2,16,3,"Truesight 120 Ft., passive Perception 19",Common Plus Up To Five Other Languages,21,,,+10,+12,+9,,30,0,0,0,0,4,12,9,0,0,9,0,18,0,0,0,0,"Legendary Resistance (3/Day). If the lich fails a saving throw, it can choose to succeed instead. | Rejuvenation. If it has a phylactery, a destroyed lich gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery. | Spellcasting. The lich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). The lich has the following wizard spells prepared: • Cantrips (at will): mage hand, prestidigitation, ray of frost • 1st level (4 slots): detect magic, magic missile, shield, thunderwave • 2nd level (3 slots): detect thoughts, invisibility, acid arrow, mirror image • 3rd level (3 slots): animate dead, counterspell, dispel magic, fireball • 4th level (3 slots): blight, dimension door • 5th level (3 slots): cloudkill, scrying • 6th level (1 slot): disintegrate, globe of invulnerability • 7th level (1 slot): finger of death, plane shift • 8th level (1 slot): dominate monster, power word stun • 9th level (1 slot): power word kill | Turn Resistance. The lich has advantage on saving throws against any effect that turns undead.","Paralyzing Touch. Melee Spell Attack: +12 to hit, reach 5 ft., one creature. Hit: (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success",,,,,,,,,,Cantrip.The lich casts a cantrip.,Paralyzing Touch (Costs 2 Actions).The lich uses its Paralyzing Touch.,"Frightening Gaze (Costs 2 Actions).The lich fixes its gaze on one creature it can see within 10 feet of it. The target must succeed on a DC 18 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the lich's gaze for the next 24 hours.","Disrupt Life (Costs 3 Actions).Each non-undead creature within 20 feet of the lich must make a DC 18 Constitution saving throw against this magic, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.",
185,Lion,Large,Beast,unaligned,12,26,17,3,15,2,13,1,3,-4,12,1,8,-1,passive Perception 13,,1,,,,,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell. | Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 ft. of the creature and the ally isn't incapacitated. | Pounce. If the lion moves at least 20 ft. straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action. | Running Leap. With a 10-foot running start, the lion can long jump up to 25 ft..","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d8 + 3) piercing damage.","Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d6 + 3) slashing damage.",,,,,,,,,,,,,
186,Lizard,Tiny,Beast,unaligned,10,2,2,-4,11,0,10,0,1,-5,8,-1,3,-4,,,0,,,,,,,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: (1d1) piercing damage.",,,,,,,,,,,,,,
187,Lizardfolk,Medium,Humanoid (lizardfolk),neutral,15,22,15,2,10,0,13,1,7,-2,12,1,7,-2,passive Perception 13,Draconic,1/2,,,,,,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hold Breath. The lizardfolk can hold its breath for 15 minutes.,"Multiattack. The lizardfolk makes two melee attacks, each one with a different weapon.","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d6 + 2) piercing damage.","Heavy Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d6 + 2) bludgeoning damage.","Javelin. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d6 + 2) piercing damage.","Javelin. Ranged Weapon Attack: +4 to hit, reach 30/120 ft., one target. Hit: (1d6 + 2) piercing damage.","Spiked Shield. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (1d6 + 2) piercing damage.",,,,,,,,,
188,Mage,Medium,Humanoid (any race),any alignment,12,40,9,-1,14,2,11,0,17,3,12,1,11,0,passive Perception 11,Any Four Languages,6,,,,+6,+4,,30,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,"Spellcasting. The mage is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The mage has the following wizard spells prepared: |  | • Cantrips (at will): fire bolt, light, mage hand, prestidigitation | • 1st level (4 slots): detect magic, mage armor, magic missile, shield | • 2nd level (3 slots): misty step, suggestion | • 3rd level (3 slots): counterspell, fireball, fly | • 4th level (3 slots): greater invisibility, ice storm | • 5th level (1 slot): cone of cold","Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d4 + 2) piercing damage.","Dagger. Ranged Weapon Attack: +5 to hit, reach 20/60 ft., one target. Hit: (1d4 + 2) piercing damage.",,,,,,,,,,,,,
189,Magma Mephit,Small,Elemental,neutral evil,11,22,8,-1,12,1,12,1,7,-2,10,0,10,0,"Darkvision 60 Ft., passive Perception 10","Ignan, Terran",1/2,,,,,,,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Death Burst. When the mephit dies, it explodes in a burst of lava. Each creature within 5 ft. of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. | False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary mound of magma. | Innate Spellcasting (1/Day). The mephit can innately cast heat metal (spell save DC 10), requiring no material components. Its innate spellcasting ability is Charisma.","Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: (1d4 + 1) slashing damage plus (1d4)fire damage.","Fire Breath (Recharge 6). The mephit exhales a 15-foot cone of fire. Each creature in that area must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.","Variant: Summon Mephits (1/Day). The mephit has a 25 percent chance of summoning 1d4 mephits of its kind. A summoned mephit appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other mephits. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.",,,,,,,,,,,,
190,Magmin,Small,Elemental,chaotic neutral,14,9,7,-2,15,2,12,1,8,-1,11,0,10,0,"Darkvision 60 Ft., passive Perception 10",Ignan,1/2,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Death Burst. When the magmin dies, it explodes in a burst of fire and magma. Each creature within 10 ft. of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. Flammable objects that aren't being worn or carried in that area are ignited. | Ignited Illumination. As a bonus action, the magmin can set itself ablaze or extinguish its flames. While ablaze, the magmin sheds bright light in a 10-foot radius and dim light for an additional 10 ft.","Touch. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: (2d6) fire damage. If the target is a creature or a flammable object, it ignites. Until a creature takes an action to douse the fire, the creature takes 3 (1d6) fire damage at the end of each of its turns",,,,,,,,,,,,,,
191,Mammoth,Huge,Beast,unaligned,13,126,24,7,9,-1,21,5,3,-4,11,0,6,-2,,,6,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trampling Charge. If the mammoth moves at least 20 ft. straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 18 Strength saving throw or be knocked prone. If the target is prone, the mammoth can make one stomp attack against it as a bonus action.","Gore. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: (4d8 + 7) piercing damage.","Stomp. Melee Weapon Attack: +10 to hit, reach 5 ft., one prone creature. Hit: (4d10 + 7) bludgeoning damage.",,,,,,,,,,,,,
192,Manticore,Large,Monstrosity,lawful evil,14,68,17,3,16,3,17,3,7,-2,12,1,8,-1,,Common,3,,,,,,,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tail Spike Regrowth. The manticore has twenty-four tail spikes. Used spikes regrow when the manticore finishes a long rest.,Multiattack. The manticore makes three attacks: one with its bite and two with its claws or three with its tail spikes.,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d8 + 3) piercing damage.","Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: (1d6 + 3) slashing damage.","Tail Spike. Ranged Weapon Attack: +5 to hit, reach 100/200 ft., one target. Hit: (1d8 + 3) piercing damage.",,,,,,,,,,,
